,y,mu,y_real,mu_real
0,1.140009052140427,6.4144029532710715e-27,0.33,0.08074157587512311
1,-2.9945716575862558,1.1154626387016048e-29,0.0020000000000000005,0.08074157587512311
2,-0.9333070895685389,2.6187224075200267e-28,0.025499999999999797,0.08074157587512311
3,0.4796626310312709,-5.276201033085267e-30,0.14600000000000007,0.08074157587512311
4,1.0155931559043037,7.030708220379452e-06,0.2829999999999999,0.0807422769152548
5,-0.5789389520424438,-1.3301971256041558e-30,0.0394999999999999,0.08074157587512311
6,-1.261635745450278,3.7612701677871966e-23,0.017000000000000005,0.08074157587512311
7,-1.418855150962604,1.2823903562075275e-26,0.013999999999999993,0.08074157587512311
8,-0.017657407538351457,-2.7826576657464497e-31,0.07899999999999999,0.08074157587512311
9,0.4740972613521946,2.589016399685729e-26,0.14500000000000002,0.08074157587512311
10,-0.08718428315189597,4.443053189735422e-26,0.0725,0.08074157587512311
11,0.3275770419397092,-5.777410134743237e-27,0.12100000000000001,0.08074157587512311
12,-1.5106239719427987,2.2045865609188597e-27,0.012500000000000006,0.08074157587512311
13,0.4906799180000835,2.0563940908000903e-18,0.148,0.08074157587512311
14,0.5015493174512181,2.4786187665638948e-14,0.15,0.08074157587512558
15,-3.227524546208601,-2.9624428156283807e-27,0.0014999999999999994,0.08074157587512311
16,1.3983255654965412,3.080922189231251e-23,0.45399999999999974,0.08074157587512311
17,-0.7621978391991148,-1.2073409905017595e-30,0.0314999999999999,0.08074157587512311
18,-0.5064333547463876,-1.5774530700901827e-32,0.043199999999999905,0.08074157587512311
19,1.0011585829456005,-3.732507041650146e-27,0.2779999999999999,0.08074157587512311
20,0.23178290313868496,3.935294917268427e-13,0.10749999999999998,0.08074157587516233
