,y,mu,y_real,mu_real
0,-0.1949871160574196,0.0015638159866214383,0.06599999999999999,0.0843100098232904
1,-1.260605695259669,0.00111086661131934,0.017499999999999898,0.08426245178439543
2,0.3553347691268771,0.00016571196896039572,0.13099999999999998,0.08416330035656974
3,0.9520941324766001,0.003985087860827653,0.2755,0.0845646901944237
4,0.4423607412025278,0.0009703284040295618,0.146,0.08424770123702115
5,0.012815034079758257,6.160594378736069e-06,0.0854999999999999,0.08414657413673991
6,-2.2662658795330777,0.00210637496510098,0.005000000000000002,0.08436701187895175
7,-0.5352055965116422,-9.523569759669234e-05,0.043199999999999905,0.08413594620549945
8,-3.2327595760324375,0.0013131660426666256,0.0015000000000000007,0.08428368917371627
9,0.6580340303761583,0.0008339161823335919,0.1909999999999999,0.08423338621258807
10,-0.8551388253742029,0.0011341213895170882,0.028999999999999908,0.08426489279819688
11,0.4640581096096953,0.048460123871039366,0.15,0.08938205119186773
12,-0.409869371199038,0.0012160938232532246,0.05050000000000011,0.08427349786660293
13,-2.4657191701081147,-0.0007549971621783185,0.0038999999999999994,0.0840668255696121
14,1.3038579281848273,-0.002486193813624356,0.42700000000000005,0.08388572471765025
15,-0.11958299443251416,0.001148810514904739,0.0725,0.08426643472669522
16,0.18912272608622663,0.0007976797116744596,0.10650000000000001,0.08422958398594382
17,-1.260605695259669,0.0015100169482909545,0.017499999999999898,0.0843043597152684
18,-1.5307100485913914,0.0017198802183793585,0.012500000000000006,0.08432640221738173
19,0.33986697341881167,-0.31034832757387876,0.1284999999999999,0.05716534713418838
20,-0.2516756337126136,0.03077512459312486,0.06150000000000009,0.08743445932215332
