900112,1,1
900197,-1,-1
900119,1,1
508473,1,-1
508482,1,1
508236,-1,1
900172,-1,1
508046,-1,1
508475,-1,1
501419,1,-1
501379,-1,-1
508525,1,-1
508438,-1,-1
900184,-1,-1
502329,1,-1
900176,1,1
900094,1,1
501341,-1,1
501314,-1,1
501365,1,1
900177,-1,1
501394,1,-1
501236,1,1
900101,1,1
900175,-1,1
501215,1,-1
501094,1,-1
508104,-1,1
501307,-1,1
501102,1,1
501206,1,-1
900104,-1,1
900153,1,1
508357,1,1
508534,1,-1
501175,-1,-1
900144,1,1
900196,-1,-1
508293,1,-1
502337,1,-1
501289,1,1
501054,-1,-1
501257,1,1
501217,1,1
