,y,mu,y_real,mu_real
0,0.4423338249495217,-7.7122585860817e-08,0.2905,0.056538422832276676
1,-0.18513424287990407,1.4574374413553263e-06,0.028499999999999907,0.056538743860474173
2,0.4483143432845322,0.0046318211588342794,0.297,0.057515759015600194
3,0.1210996636586904,-1.1322091338259644e-07,0.08849999999999998,0.0565384152805699
4,0.5814122183616063,3.74133006056157e-08,0.48600000000000004,0.05653844679298981
5,0.4049797544157959,-6.470667166154191e-08,0.253,0.05653842542966437
6,-0.07085193700543355,-7.142292434057131e-08,0.043500000000000004,0.05653842402463597
7,0.0397635442724524,6.512377755823234e-10,0.06550000000000002,0.05653843910242752
8,-0.020028490254320602,-1.3047077396284125e-07,0.0524999999999999,0.05653841167192972
9,-0.13744470324804062,-7.099579801254586e-09,0.03399999999999989,0.05653843748096955
10,-0.7935737595676227,-3.5228833467422137e-07,0.002999999999999999,0.056538365268110374
11,-0.23157890515417515,6.470122254459114e-09,0.023999999999999997,0.0565384403197284
12,0.3487804579896884,1.4960035649220275e-08,0.2055,0.05653844209580408
13,0.018302878259604825,-4.327077110465674e-06,0.0605,0.05653753375617959
14,0.6086330837190617,-9.666226178461672e-09,0.5375,0.05653843694403144
15,0.5852771193141493,8.963532179905279e-08,0.493,0.056538457717751414
16,-0.37724939114144734,-9.592920433473353e-07,0.013999999999999993,0.05653823828426317
17,0.4352646582937203,-9.772707546496204e-08,0.283,0.056538418521853484
18,-0.19478749748193885,-7.202936981942336e-08,0.0274999999999999,0.05653842389776861
19,-0.16680434545727463,-8.906543222783487e-08,0.030499999999999996,0.05653842033385406
20,-0.38707819780973185,1.6676035452297156e-09,0.013500000000000003,0.05653843931504953
21,0.587189039137595,-1.2231406179414085e-07,0.4965,0.056538413378299394
22,-0.020028490254320602,-2.2413694088180557e-07,0.0524999999999999,0.056538392077137914
23,0.3856077308861159,-6.357961713006279e-10,0.23549999999999996,0.0565384388331822
24,0.5786173393020999,3.427364072014814e-05,0.4810000000000001,0.05654560940886011
25,-0.04993723184043179,-6.340972844618066e-08,0.04700000000000001,0.05653842570098265
26,0.10048315490494412,-1.144651721765079e-07,0.08199999999999989,0.056538415020273174
27,-0.2490212405426796,-1.4994890427708746e-07,0.0225,0.05653840759713971
