508512,-1,1
900093,-1,1
501340,-1,-1
501518,1,-1
508431,1,1
501220,1,-1
508480,-1,1
508243,1,-1
501225,-1,-1
900099,1,-1
900166,1,-1
508108,1,1
508007,-1,-1
501176,-1,-1
900156,-1,-1
508536,-1,1
508293,1,-1
501257,1,1
508471,-1,1
508012,1,1
900146,1,-1
501286,1,1
508465,-1,1
900195,-1,-1
501310,1,1
508104,-1,-1
508432,1,1
501365,1,-1
900177,-1,1
501038,-1,-1
900335,-1,-1
501196,1,-1
900199,1,1
900176,-1,1
502336,-1,1
501454,-1,1
508088,-1,1
508335,-1,1
900106,-1,-1
508252,1,-1
501272,-1,1
501193,1,1
900104,-1,1
502359,1,-1
