,y,mu,y_real,mu_real
0,0.24701959541512444,4.0922290846875426e-08,0.138,0.05556835377684486
1,-0.0633880688854192,-3.686685078050509e-07,0.044000000000000004,0.05556826996304594
2,-0.2843748534834212,-2.526923508595187e-08,0.019499999999999896,0.05556834023218817
3,-0.2986706563595229,-2.035630597312253e-07,0.018499999999999902,0.05556830374824971
4,0.4420503790030269,-1.4480380635644315e-07,0.283,0.055568315772045344
5,0.24898030820868258,-7.946400364895896e-08,0.1389999999999999,0.055568329142409494
6,0.044653952991008036,-4.764870341171018e-09,0.06550000000000002,0.055568344427960256
7,0.49897563545023554,1.1801998807239524e-08,0.349,0.0555683478180098
8,-0.19102109925569327,-1.000746822611492e-07,0.0274999999999999,0.05556832492488373
9,0.6232321973447852,7.244366309216093e-09,0.5514999999999998,0.055568346885389384
10,0.29472054738455156,-1.5923261101332086e-07,0.16450000000000004,0.05556831281950591
11,0.5603489390026575,0.000691542768817699,0.4374999999999999,0.05571003492676116
12,0.40783739214514175,-1.3725207610431761e-07,0.2495,0.05556831731734192
13,-0.2062526169612336,2.3598879481270832e-08,0.025999999999999995,0.05556835023198504
14,-0.7926768520765333,-1.1778120367676316e-07,0.002999999999999999,0.05556832130163065
15,-0.26425027470994383,-0.009146426589336905,0.021000000000000005,0.05372789650428092
16,0.5423881767947282,-2.1527068620542102e-07,0.40950000000000003,0.05556830135254041
17,-0.439846758319164,-9.762864523250348e-07,0.011000000000000005,0.05556814562755543
18,0.023090443632891245,-4.5990910251147565e-06,0.0605,0.05556740430699538
19,0.09208383595032515,-5.960452195986363e-05,0.07800000000000001,0.05555614997224127
20,0.5505534805131093,-1.106126492046452e-07,0.42200000000000004,0.05556832276851881
21,0.5594162848214214,0.0001228133742662033,0.4359999999999999,0.055593482172881965
22,-0.5625867276215063,8.814080485769587e-10,0.006999999999999903,0.05556834558334835
23,0.6512767910160391,3.583781513093792e-09,0.6114999999999998,0.055568346136330306
24,0.594702808619693,-2.4850823884094824e-07,0.4965,0.05556829455120387
25,0.570641285294766,-1.3027638905163557e-08,0.45439999999999986,0.055568342737164426
26,-0.24551474010150273,-6.322723583581709e-08,0.0225,0.05556833246491005
27,-0.12943909401862128,3.3919200728181453e-09,0.03449999999999989,0.05556834609707002
